batsmanName - Split 1,match,team,battingPos,batsmanName,runs,balls,fours,sixes,SR,out,match_id
Michael van Lingen,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,3,6,0,0,50,1,T20I # 1823
Divan la Cock,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,9,9,1,0,100,1,T20I # 1823
Jan Nicol Loftie-Eaton,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,1,T20I # 1823
Stephan Baard,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,26,24,2,0,108.33,1,T20I # 1823
Gerhard Erasmus,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),20,24,0,0,83.33,1,T20I # 1823
Jan Frylinck,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,44,28,4,0,157.14,1,T20I # 1823
David Wiese,Namibia Vs Sri Lanka,Namibia,7,David Wiese,0,1,0,0,0,1,T20I # 1823
JJ Smit,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,0,T20I # 1823
Pathum Nissanka,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90,1,T20I # 1823
Kusal Mendis,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis,6,6,0,0,100,1,T20I # 1823
Dhananjaya de Silva,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,1,T20I # 1823
Danushka Gunathilaka,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0,1,T20I # 1823
Bhanuka Rajapaksa,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,1,T20I # 1823
Dasun Shanaka,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),29,23,2,1,126.08,1,T20I # 1823
Wanindu Hasaranga de Silva,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50,1,T20I # 1823
Chamika Karunaratne,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.5,1,T20I # 1823
Pramod Madushan,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,0,0,0,0,,1,T20I # 1823
Dushmantha Chameera,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,8,15,0,0,53.33,1,T20I # 1823
Maheesh Theekshana,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,11,11,0,1,100,0,T20I # 1823
Chirag Suri,U.A.E. Vs Netherlands,U.A.E.,1,Chirag Suri,12,20,1,0,60,1,T20I # 1825
Muhammad Waseem,U.A.E. Vs Netherlands,U.A.E.,2,Muhammad Waseem,41,47,1,2,87.23,1,T20I # 1825
Kashif Daud,U.A.E. Vs Netherlands,U.A.E.,3,Kashif Daud,15,14,0,1,107.14,1,T20I # 1825
Vriitya Aravind,U.A.E. Vs Netherlands,U.A.E.,4,Vriitya Aravind,18,21,0,0,85.71,1,T20I # 1825
Zawar Farid,U.A.E. Vs Netherlands,U.A.E.,5,Zawar Farid,2,4,0,0,50,1,T20I # 1825
